date,canton,population,density,O65_perc,O65,beds,bedsPerCapita,TotalTestedCases,tested_pos,TotalConfCases,TotalCured,TotalDeaths,,Pos_Pop_rate,Conf_Pop_rate,,,,,,,,
08.03.20,FR,318714,191,15.70%,50038,547,0.001716272,,8,NA,,,,6.90274E-05,,,,,,,,,
09.03.20,FR,318714,191,15.70%,50038,547,0.001716272,,10,NA,,,,0.000100403,,,,,,,,,
10.03.20,FR,318714,191,15.70%,50038,547,0.001716272,,12,NA,,,,0.000138055,,,,,,,,,
11.03.20,FR,318714,191,15.70%,50038,547,0.001716272,,16,NA,,,,0.000188257,,,,,,,,,
12.03.20,FR,318714,191,15.70%,50038,547,0.001716272,,26,NA,,,,0.000269834,,,,,,,,,
13.03.20,FR,318714,191,15.70%,50038,547,0.001716272,,31,NA,,,,0.0003671,,,,,,,,,
14.03.20,FR,318714,191,15.70%,50038,547,0.001716272,,38,31,,,,0.000486329,9.72659E-05,,,,,,,,
18.03.20,FR,318714,191,15.70%,50038,547,0.001716272,,,,,1,,,,,,,,,,,
06.03.20,GE,495249,1771,16.40%,81221,1506,0.003040895,,16,NA,,,,3.2307E-05,,,,,,,,,
07.03.20,GE,495249,1771,16.40%,81221,1506,0.003040895,,25,NA,,,,8.27866E-05,,,,,,,,,
08.03.20,GE,495249,1771,16.40%,81221,1506,0.003040895,,38,NA,,,,0.000159516,,,,,,,,,
09.03.20,GE,495249,1771,16.40%,81221,1506,0.003040895,,40,NA,,,,0.000240283,,,,,,,,,
10.03.20,GE,495249,1771,16.40%,81221,1506,0.003040895,,53,NA,,,,0.0003473,,,,,,,,,
11.03.20,GE,495249,1771,16.40%,81221,1506,0.003040895,,78,NA,,,,0.000504797,,,,,,,,,
12.03.20,GE,495249,1771,16.40%,81221,1506,0.003040895,,76,NA,,,,0.000658255,,,,,,,,,
13.03.20,GE,495249,1771,16.40%,81221,1506,0.003040895,,86,NA,,,,0.000831905,,,,,,,,,
14.03.20,GE,495249,1771,16.40%,81221,1506,0.003040895,,107,103,,,,0.001047958,0.000207976,,,,,,,,
06.03.20,GL,40403,59,20.10%,8121,86,0.002128555,,0,NA,,,,0,,,,,,,,,
07.03.20,GL,40403,59,20.10%,8121,86,0.002128555,,0,NA,,,,0,,,,,,,,,
08.03.20,GL,40403,59,20.10%,8121,86,0.002128555,,0,NA,,,,0,,,,,,,,,
09.03.20,GL,40403,59,20.10%,8121,86,0.002128555,,0,NA,,,,0,,,,,,,,,
10.03.20,GL,40403,59,20.10%,8121,86,0.002128555,,0,NA,,,,0,,,,,,,,,
11.03.20,GL,40403,59,20.10%,8121,86,0.002128555,,2,NA,,,,4.95013E-05,,,,,,,,,
12.03.20,GL,40403,59,20.10%,8121,86,0.002128555,,2,NA,,,,9.90025E-05,,,,,,,,,
13.03.20,GL,40403,59,20.10%,8121,86,0.002128555,,4,NA,,,,0.000198005,,,,,,,,,
14.03.20,GL,40403,59,20.10%,8121,86,0.002128555,,5,3,,,,0.000321758,7.42519E-05,,,,,,,,
06.03.20,GR,198379,28,21.30%,42255,546,0.002752307,,13,NA,,,,6.55311E-05,,,,,,,,,
07.03.20,GR,198379,28,21.30%,42255,546,0.002752307,,15,NA,,,,0.000141144,,,,,,,,,
08.03.20,GR,198379,28,21.30%,42255,546,0.002752307,,17,NA,,,,0.000226839,,,,,,,,,
09.03.20,GR,198379,28,21.30%,42255,546,0.002752307,,17,NA,,,,0.000312533,,,,,,,,,
10.03.20,GR,198379,28,21.30%,42255,546,0.002752307,,18,NA,,,,0.000403268,,,,,,,,,
11.03.20,GR,198379,28,21.30%,42255,546,0.002752307,,23,NA,,,,0.000519208,,,,,,,,,
12.03.20,GR,198379,28,21.30%,42255,546,0.002752307,,28,NA,,,,0.000660352,,,,,,,,,
13.03.20,GR,198379,28,21.30%,42255,546,0.002752307,,39,NA,,,,0.000856946,,,,,,,,,
14.03.20,GR,198379,28,21.30%,42255,546,0.002752307,,47,43,,,,0.001093866,0.000216757,,,,,,,,
06.03.20,JU,73419,88,20.90%,15345,145,0.001974966,,1,NA,,,,1.36205E-05,,,,,,,,,
07.03.20,JU,73419,88,20.90%,15345,145,0.001974966,,3,NA,,,,5.44818E-05,,,,,,,,,
08.03.20,JU,73419,88,20.90%,15345,145,0.001974966,,3,NA,,,,9.53432E-05,,,,,,,,,
09.03.20,JU,73419,88,20.90%,15345,145,0.001974966,,3,NA,,,,0.000136205,,,,,,,,,
10.03.20,JU,73419,88,20.90%,15345,145,0.001974966,,4,NA,,,,0.000190686,,,,,,,,,
11.03.20,JU,73419,88,20.90%,15345,145,0.001974966,,5,NA,,,,0.000258789,,,,,,,,,
12.03.20,JU,73419,88,20.90%,15345,145,0.001974966,,7,NA,,,,0.000354132,,,,,,,,,
13.03.20,JU,73419,88,20.90%,15345,145,0.001974966,,7,NA,,,,0.000449475,,,,,,,,,
14.03.20,JU,73419,88,20.90%,15345,145,0.001974966,,10,7,,,,0.000585679,9.53432E-05,,,,,,,,
06.03.20,LU,409557,274,17.60%,72082,977,0.002385504,,2,NA,,,,4.88333E-06,,,,,,,,,
07.03.20,LU,409557,274,17.60%,72082,977,0.002385504,,4,NA,,,,1.465E-05,,,,,,,,,
08.03.20,LU,409557,274,17.60%,72082,977,0.002385504,,6,NA,,,,2.93E-05,,,,,,,,,
09.03.20,LU,409557,274,17.60%,72082,977,0.002385504,,5,NA,,,,4.15083E-05,,,,,,,,,
10.03.20,LU,409557,274,17.60%,72082,977,0.002385504,,6,NA,,,,5.61582E-05,,,,,,,,,
11.03.20,LU,409557,274,17.60%,72082,977,0.002385504,,7,NA,,,,7.32499E-05,,,,,,,,,
12.03.20,LU,409557,274,17.60%,72082,977,0.002385504,,8,NA,,,,9.27832E-05,,,,,,,,,
13.03.20,LU,409557,274,17.60%,72082,977,0.002385504,,13,NA,,,,0.000124525,,,,,,,,,
14.03.20,LU,409557,274,17.60%,72082,977,0.002385504,,19,9,,,,0.000170916,2.1975E-05,,,,,,,,
06.03.20,NE,177964,220,19.00%,33813,385,0.002163359,,8,NA,,,,4.49529E-05,,,,,,,,,
07.03.20,NE,177964,220,19.00%,33813,385,0.002163359,,11,NA,,,,0.000106763,,,,,,,,,
08.03.20,NE,177964,220,19.00%,33813,385,0.002163359,,13,NA,,,,0.000179812,,,,,,,,,
09.03.20,NE,177964,220,19.00%,33813,385,0.002163359,,17,NA,,,,0.000275337,,,,,,,,,
10.03.20,NE,177964,220,19.00%,33813,385,0.002163359,,27,NA,,,,0.000427053,,,,,,,,,
11.03.20,NE,177964,220,19.00%,33813,385,0.002163359,,27,NA,,,,0.000578769,,,,,,,,,
12.03.20,NE,177964,220,19.00%,33813,385,0.002163359,,33,NA,,,,0.0007642,,,,,,,,,
13.03.20,NE,177964,220,19.00%,33813,385,0.002163359,,37,NA,,,,0.000972107,,,,,,,,,
14.03.20,NE,177964,220,19.00%,33813,385,0.002163359,,39,38,,,,0.001191252,0.000213526,,,,,,,,
06.03.20,NW,43223,157,20.30%,8774,73,0.001688916,,0,NA,,,,0,,,,,,,,,
07.03.20,NW,43223,157,20.30%,8774,73,0.001688916,,0,NA,,,,0,,,,,,,,,
08.03.20,NW,43223,157,20.30%,8774,73,0.001688916,,0,NA,,,,0,,,,,,,,,
09.03.20,NW,43223,157,20.30%,8774,73,0.001688916,,0,NA,,,,0,,,,,,,,,
10.03.20,NW,43223,157,20.30%,8774,73,0.001688916,,0,NA,,,,0,,,,,,,,,
11.03.20,NW,43223,157,20.30%,8774,73,0.001688916,,3,NA,,,,6.94075E-05,,,,,,,,,
12.03.20,NW,43223,157,20.30%,8774,73,0.001688916,,4,NA,,,,0.000161951,,,,,,,,,
13.03.20,NW,43223,157,20.30%,8774,73,0.001688916,,5,NA,,,,0.00027763,,,,,,,,,
14.03.20,NW,43223,157,20.30%,8774,73,0.001688916,,5,0,,,,0.000393309,0,,,,,,,,
06.03.20,OW,37841,77,18.80%,7114,50,0.001321318,,0,NA,,,,0,,,,,,,,,
07.03.20,OW,37841,77,18.80%,7114,50,0.001321318,,0,NA,,,,0,,,,,,,,,
08.03.20,OW,37841,77,18.80%,7114,50,0.001321318,,0,NA,,,,0,,,,,,,,,
09.03.20,OW,37841,77,18.80%,7114,50,0.001321318,,0,NA,,,,0,,,,,,,,,
10.03.20,OW,37841,77,18.80%,7114,50,0.001321318,,0,NA,,,,0,,,,,,,,,
11.03.20,OW,37841,77,18.80%,7114,50,0.001321318,,0,NA,,,,0,,,,,,,,,
12.03.20,OW,37841,77,18.80%,7114,50,0.001321318,,0,NA,,,,0,,,,,,,,,
13.03.20,OW,37841,77,18.80%,7114,50,0.001321318,,7,NA,,,,0.000184985,,,,,,,,,
14.03.20,OW,37841,77,18.80%,7114,50,0.001321318,,8,1,,,,0.000396395,2.64264E-05,,,,,,,,
06.03.20,SG,507697,251,18.30%,92909,1565,0.003082547,,1,NA,,,,1.96968E-06,,,,,,,,,
07.03.20,SG,507697,251,18.30%,92909,1565,0.003082547,,1,NA,,,,3.93936E-06,,,,,,,,,
08.03.20,SG,507697,251,18.30%,92909,1565,0.003082547,,3,NA,,,,9.84839E-06,,,,,,,,,
09.03.20,SG,507697,251,18.30%,92909,1565,0.003082547,,3,NA,,,,1.57574E-05,,,,,,,,,
10.03.20,SG,507697,251,18.30%,92909,1565,0.003082547,,7,NA,,,,2.95452E-05,,,,,,,,,
11.03.20,SG,507697,251,18.30%,92909,1565,0.003082547,,10,NA,,,,4.9242E-05,,,,,,,,,
12.03.20,SG,507697,251,18.30%,92909,1565,0.003082547,,14,NA,,,,7.68175E-05,,,,,,,,,
13.03.20,SG,507697,251,18.30%,92909,1565,0.003082547,,19,NA,,,,0.000114241,,,,,,,,,
14.03.20,SG,507697,251,18.30%,92909,1565,0.003082547,,26,16,,,,0.000165453,3.15149E-05,,,,,,,,
06.03.20,SH,81991,275,21.20%,17382,186,0.002268542,,0,NA,,,,0,,,,,,,,,
07.03.20,SH,81991,275,21.20%,17382,186,0.002268542,,0,NA,,,,0,,,,,,,,,
08.03.20,SH,81991,275,21.20%,17382,186,0.002268542,,0,NA,,,,0,,,,,,,,,
09.03.20,SH,81991,275,21.20%,17382,186,0.002268542,,0,NA,,,,0,,,,,,,,,
10.03.20,SH,81991,275,21.20%,17382,186,0.002268542,,0,NA,,,,0,,,,,,,,,
11.03.20,SH,81991,275,21.20%,17382,186,0.002268542,,1,NA,,,,1.21965E-05,,,,,,,,,
12.03.20,SH,81991,275,21.20%,17382,186,0.002268542,,1,NA,,,,2.43929E-05,,,,,,,,,
13.03.20,SH,81991,275,21.20%,17382,186,0.002268542,,1,NA,,,,3.65894E-05,,,,,,,,,
14.03.20,SH,81991,275,21.20%,17382,186,0.002268542,,1,1,,,,4.87858E-05,1.21965E-05,,,,,,,,
06.03.20,SO,273194,345,19.60%,53546,510,0.001866805,,1,NA,,,,3.6604E-06,,,,,,,,,
07.03.20,SO,273194,345,19.60%,53546,510,0.001866805,,1,NA,,,,7.3208E-06,,,,,,,,,
08.03.20,SO,273194,345,19.60%,53546,510,0.001866805,,1,NA,,,,1.09812E-05,,,,,,,,,
09.03.20,SO,273194,345,19.60%,53546,510,0.001866805,,1,NA,,,,1.46416E-05,,,,,,,,,
10.03.20,SO,273194,345,19.60%,53546,510,0.001866805,,1,NA,,,,1.8302E-05,,,,,,,,,
11.03.20,SO,273194,345,19.60%,53546,510,0.001866805,,3,NA,,,,2.92832E-05,,,,,,,,,
12.03.20,SO,273194,345,19.60%,53546,510,0.001866805,,7,NA,,,,5.4906E-05,,,,,,,,,
13.03.20,SO,273194,345,19.60%,53546,510,0.001866805,,8,NA,,,,8.41893E-05,,,,,,,,,
14.03.20,SO,273194,345,19.60%,53546,510,0.001866805,,10,6,,,,0.000120793,2.19624E-05,,,,,,,,
06.03.20,SZ,159165,175,17.70%,28172,274,0.001721484,,7,NA,,,,4.39795E-05,,,,,,,,,
07.03.20,SZ,159165,175,17.70%,28172,274,0.001721484,,7,NA,,,,8.7959E-05,,,,,,,,,
08.03.20,SZ,159165,175,17.70%,28172,274,0.001721484,,7,NA,,,,0.000131939,,,,,,,,,
09.03.20,SZ,159165,175,17.70%,28172,274,0.001721484,,7,NA,,,,0.000175918,,,,,,,,,
10.03.20,SZ,159165,175,17.70%,28172,274,0.001721484,,7,NA,,,,0.000219898,,,,,,,,,
11.03.20,SZ,159165,175,17.70%,28172,274,0.001721484,,8,NA,,,,0.00027016,,,,,,,,,
